event_id,phase,get_open,get_close,craft,system,prerequisites,autopilot_script,checklist_id,success_effects,failure_effects,notes
COAST_040,Translunar,033:30:00,034:30:00,CSM,Thermal,COAST_032,,"FP_5-18_PTC_LONG","{\"thermal_balance_state\": \"PTC_STABLE\"}","{\"failure_id\": \"FAIL_THERMAL_PTC_DRIFT\"}",Extended Passive Thermal Control trend verification during long coast segment.
COAST_041,Translunar,034:45:00,036:15:00,CSM,Power,COAST_040,,"FP_5-20_CONS_LOG2","{\"power_margin_percent\": 1, \"co2_level_mmHg\": -0.1}","{\"failure_id\": \"FAIL_CONSUMABLES_LOG_MISSED\"}",Log consumables trending and update fuel cell status during extended coast.
COAST_050,Translunar,052:30:00,053:30:00,CSM,Guidance,COAST_041,,"FP_6-02_MCC3_PAD","{\"mcc3_pad_verified\": true}","{\"failure_id\": \"FAIL_MCC3_PAD_MISSED\"}",Review Midcourse Correction 3 PAD parameters for the LOI-22 h opportunity.
COAST_051,Translunar,053:30:00,054:30:00,Joint,Navigation,COAST_050,,"FP_6-04_MCC3_EVAL","{\"mcc3_requirement\": \"assessed\"}","{\"failure_id\": \"FAIL_MCC3_EVAL_SKIPPED\"}",Evaluate tracking residuals with Mission Control and record the MCC-3 go/no-go decision.
COAST_052,Translunar,054:30:00,055:30:00,Joint,Propulsion,COAST_051,PGM_MCC3,"FP_6-06_MCC3_EXEC","{\"delta_v_margin_mps\": -0.9}","{\"failure_id\": \"FAIL_MCC3_SKIPPED\"}",Execute Midcourse Correction 3 if required; otherwise document skip rationale and return to Passive Thermal Control.
COAST_060,Translunar,065:30:00,067:00:00,CSM,Navigation,COAST_051,,"FP_6-08_P52_LOI","{\"platform_alignment_error_deg\": -0.3}","{\"failure_id\": \"FAIL_P52_LOI_SKIPPED\"}",Perform LOI-focused P52 realignment to tighten platform drift prior to lunar capture.
COAST_061,Translunar,069:30:00,070:45:00,CSM,Guidance,COAST_060,,"FP_6-10_MCC4_PAD","{\"mcc4_pad_verified\": true}","{\"failure_id\": \"FAIL_MCC4_PAD_MISSED\"}",Review Midcourse Correction 4 PAD parameters for the LOI-5 h window.
COAST_062,Translunar,070:45:00,071:30:00,Joint,Propulsion,COAST_061,PGM_MCC4,"FP_6-12_MCC4_EXEC","{\"delta_v_margin_mps\": -0.3}","{\"failure_id\": \"FAIL_MCC4_SKIPPED\"}",Execute Midcourse Correction 4 if required to clean up the final approach corridor.
COAST_070,Translunar,071:45:00,073:00:00,CSM,Guidance,COAST_061,,"FP_6-14_LOI_PAD","{\"loi_pad_loaded\": true}","{\"failure_id\": \"FAIL_LOI_PAD_MISSED\"}",Load LOI-1 PAD data and verify guidance programs prior to lunar orbit insertion.
COAST_071,Translunar,073:00:00,074:30:00,Joint,Propulsion,COAST_070,,"FP_6-16_LOI_CONFIG","{\"sps_configured\": true}","{\"failure_id\": \"FAIL_LOI_CONFIG_INCOMPLETE\"}",Configure SPS, RCS trim, and LM docking status for LOI-1 entry conditions.
LOI_001,Lunar Orbit,075:49:30,075:55:30,CSM,Propulsion,COAST_071,PGM_LOI1,"FP_6-18_LOI1_EXEC","{\"lunar_orbit_captured\": true, \"apoapsis_nm\": 170, \"periapsis_nm\": 60}","{\"failure_id\": \"FAIL_LOI1_UNDERBURN\"}",Execute SPS LOI-1 burn to capture into elliptical lunar orbit.
LOI_002,Lunar Orbit,075:55:30,076:40:00,CSM,Navigation,LOI_001,,"FP_6-20_LOI1_EVAL","{\"state_vector_updated\": true}","{\"failure_id\": \"FAIL_LOI1_EVAL_SKIPPED\"}",Evaluate LOI-1 performance, update the state vector, and report orbit parameters.
LOI_003,Lunar Orbit,079:30:00,080:05:00,CSM,Guidance,LOI_002,,"FP_6-22_LOI2_PAD","{\"loi2_pad_verified\": true}","{\"failure_id\": \"FAIL_LOI2_PAD_MISSED\"}",Review LOI-2 PAD parameters and load updated guidance targets.
LOI_004,Lunar Orbit,080:10:30,080:15:30,CSM,Propulsion,LOI_003,PGM_LOI2,"FP_6-24_LOI2_EXEC","{\"lunar_orbit_circularized\": true, \"apoapsis_nm\": 67, \"periapsis_nm\": 54}","{\"failure_id\": \"FAIL_LOI2_SKIPPED\"}",Execute SPS LOI-2 burn to circularize the lunar parking orbit.
LOI_005,Lunar Orbit,080:15:30,081:00:00,CSM,Navigation,LOI_004,,"FP_6-26_LOI2_EVAL","{\"lunar_orbit_confirmed\": true}","{\"failure_id\": \"FAIL_LOI2_EVAL_SKIPPED\"}",Confirm lunar orbit parameters, update navigation solutions, and release MCC for the next shift.
