checklist_id,title,GET_nominal,crew_role,step_number,action,expected_response,reference
FP_6-18_LOI1_EXEC,LOI-1 Execution Monitor,075:49:50,Joint,3,Call shutdown cue,Δv within ±1 ft/s,Mission Operations Report Sec. 3.4
FP_6-20_LOI1_EVAL,LOI-1 Evaluation,075:56:00,CMP,1,Read AGC residuals,Residuals <2 ft/s,Flight Plan p. 6-20
FP_6-20_LOI1_EVAL,LOI-1 Evaluation,075:56:00,CDR,2,Update state vector with ground copy,Program 52 updated,Flight Plan p. 6-20
FP_6-20_LOI1_EVAL,LOI-1 Evaluation,075:56:00,Joint,3,Report orbit parameters to MCC,MCC copy acknowledged,Flight Journal Day 4 075:58 GET
FP_6-22_LOI2_PAD,LOI-2 PAD Review,079:45:00,CMP,1,Review LOI-2 PAD with MCC,Δv/time confirmed,Flight Plan p. 6-22
FP_6-22_LOI2_PAD,LOI-2 PAD Review,079:45:00,CDR,2,Load LOI-2 target into AGC,Program 41 updated,Flight Plan p. 6-22
FP_6-22_LOI2_PAD,LOI-2 PAD Review,079:45:00,Joint,3,Confirm go for circularization,MCC acknowledges go,Flight Journal Day 4 079:50 GET
FP_6-24_LOI2_EXEC,LOI-2 Execution Monitor,080:11:20,CMP,1,Align to LOI-2 attitude,Attitude within ±1°,Flight Plan p. 6-24
FP_6-24_LOI2_EXEC,LOI-2 Execution Monitor,080:11:20,CDR,2,Initiate SPS for trim burn,Δv on schedule,Flight Journal Day 4 080:11 GET
FP_6-24_LOI2_EXEC,LOI-2 Execution Monitor,080:11:20,Joint,3,Call shutdown cue,Δv within ±0.3 ft/s,Mission Operations Report Sec. 3.4
FP_6-26_LOI2_EVAL,LOI-2 Evaluation,080:20:00,CMP,1,Verify orbit period,127 min ±1,Flight Plan p. 6-26
FP_6-26_LOI2_EVAL,LOI-2 Evaluation,080:20:00,CDR,2,Update navigation charts,Navigation solution posted,Flight Plan p. 6-26
FP_6-26_LOI2_EVAL,LOI-2 Evaluation,080:20:00,Joint,3,Log handover summary for MCC,Entry transmitted to MCC,Flight Journal Day 4 080:22 GET
FP_4-06_PTC_MON,PTC Roll Monitoring,004:50:00,Joint,2,Check cryo tank temperatures,All cryo tank temps within band,Flight Plan p. 4-7
FP_4-06_PTC_MON,PTC Roll Monitoring,004:50:00,Joint,3,Record PTC status with MCC,MCC logs confirm PTC nominal,Flight Journal Day 1 005:20 GET
FP_4-12_MCC1_PAD,MCC-1 PAD Review,009:00:00,Joint,1,Load MCC-1 PAD into AGC,Program 41 registers updated,Flight Plan p. 4-12
FP_4-12_MCC1_PAD,MCC-1 PAD Review,009:00:00,CMP,2,Verify TIG and Δv values,TIG 009:44:00 Δv 20 ft/s,Mission Operations Report Sec. 3.3
FP_4-12_MCC1_PAD,MCC-1 PAD Review,009:00:00,CDR,3,Confirm attitude target,Pitch 29° yaw 0° per PAD,Flight Plan p. 4-13
FP_4-14_MCC1_EXEC,MCC-1 Execution Monitor,009:44:00,Joint,1,Initiate Program 41,SPS gimbal trim tracks target,Flight Plan p. 4-14
FP_4-14_MCC1_EXEC,MCC-1 Execution Monitor,009:44:00,CMP,2,Start burn timer,Timer running for 15 s,Flight Journal Day 2 009:44 GET
FP_4-14_MCC1_EXEC,MCC-1 Execution Monitor,009:44:00,CDR,3,Verify shutdown residuals,Δv residual < 0.2 ft/s,Mission Operations Report Sec. 3.3
FP_4-16_MCC1_EVAL,MCC-1 Post-Burn Evaluation,010:15:00,Joint,1,Update state vector with P23,Residuals trending toward zero,Flight Plan p. 4-16
FP_4-16_MCC1_EVAL,MCC-1 Post-Burn Evaluation,010:15:00,CMP,2,Downlink tracking residuals,MCC receives updated vector,Flight Journal Day 2 010:05 GET
FP_4-16_MCC1_EVAL,MCC-1 Post-Burn Evaluation,010:15:00,CDR,3,Assess SPS prop usage,Prop usage within plan,Mission Operations Report Sec. 3.3
FP_5-02_CONS_CHECK,Consumables Status Update,012:10:00,Joint,1,Review fuel cell reactant pressures,O2/H2 pressures within limits,Flight Plan p. 5-2
FP_5-02_CONS_CHECK,Consumables Status Update,012:10:00,CMP,2,Update consumables log,Log entries transmitted to MCC,Flight Plan p. 5-3
FP_5-02_CONS_CHECK,Consumables Status Update,012:10:00,CDR,3,Check cabin CO2 level,CO2 < 3.0 mm Hg,Flight Journal Day 2 012:30 GET
FP_5-04_PTC_TRIM,PTC Trim Adjustment,014:40:00,Joint,1,Select trim attitude,Roll reference 0° relative to sun,Flight Plan p. 5-4
FP_5-04_PTC_TRIM,PTC Trim Adjustment,014:40:00,CDR,2,Pulse RCS jets,Roll rate stabilized at 0.3°/s,Flight Plan p. 5-5
FP_5-04_PTC_TRIM,PTC Trim Adjustment,014:40:00,CMP,3,Monitor cryo tank boiloff,Boiloff trending nominal,Flight Plan p. 5-5
FP_5-06_P52_REALIGN,P52 IMU Realignment,015:55:00,CMP,1,Initialize Program 52 option 1,IMU torquing routine active,Flight Plan p. 5-6
FP_5-06_P52_REALIGN,P52 IMU Realignment,015:55:00,CMP,2,Mark star pair per PAD,Optics marks accepted by AGC,Flight Plan p. 5-7
FP_5-06_P52_REALIGN,P52 IMU Realignment,015:55:00,CDR,3,Verify platform alignment,Residuals < 0.5°,Flight Journal Day 2 016:10 GET
FP_5-08_P23_NAV,P23 Optics Update,017:20:00,CMP,1,Call up Program 23,Star table displayed,Flight Plan p. 5-8
FP_5-08_P23_NAV,P23 Optics Update,017:20:00,CMP,2,Perform sextant marks on designated stars,Marks recorded with acceptable residuals,Flight Plan p. 5-8
FP_5-08_P23_NAV,P23 Optics Update,017:20:00,Joint,3,Downlink residuals to MCC,MCC confirms data received,Flight Journal Day 2 017:45 GET
FP_5-12_MCC2_PAD,MCC-2 PAD Review,023:45:00,Joint,1,Load MCC-2 PAD into AGC,Program 41 updated with TIG and Δv,Flight Plan p. 5-12
FP_5-12_MCC2_PAD,MCC-2 PAD Review,023:45:00,CMP,2,Verify PAD parameters,TIG/Δv match MCC read-up,Mission Operations Report Sec. 3.3
FP_5-12_MCC2_PAD,MCC-2 PAD Review,023:45:00,CDR,3,Confirm attitude target for burn,PITCH 18° yaw 0° set,Flight Plan p. 5-13
FP_5-14_MCC2_EVAL,MCC-2 Evaluation,024:50:00,Joint,1,Review tracking residuals against limits,Residuals within ±0.2°,Mission Operations Report Sec. 3.3
FP_5-14_MCC2_EVAL,MCC-2 Evaluation,024:50:00,CDR,2,Record GO/NO GO decision in log,Decision relayed to MCC,Flight Journal Day 3 024:55 GET
FP_5-14_MCC2_EVAL,MCC-2 Evaluation,024:50:00,CMP,3,Update mission rule status board,Board reflects MCC-2 disposition,Flight Plan p. 5-14
FP_5-16_MCC2_EXEC,MCC-2 Execution Monitor,025:45:00,Joint,1,Arm Program 41 for SPS burn,SPS gimbals track commanded attitude,Flight Plan p. 5-16
FP_5-16_MCC2_EXEC,MCC-2 Execution Monitor,025:45:00,CMP,2,Start burn timer if burn GO,Timer counts for 10 s,Mission Operations Report Sec. 3.3
FP_5-16_MCC2_EXEC,MCC-2 Execution Monitor,025:45:00,CDR,3,Verify shutdown residuals or log skip,Residuals < 0.2 ft/s or skip noted,Flight Journal Day 3 026:00 GET
FP_7-04_LM_ACTIVATE,LM Activation Power-Up,095:10:00,LMP,1,Close LM activation circuit breakers,LGC buses energized,Flight Plan p. 7-4
FP_7-04_LM_ACTIVATE,LM Activation Power-Up,095:10:00,CDR,2,Verify ECS modes set to AUTO,Cabin temperature 70°F ±5,Flight Plan p. 7-5
FP_7-04_LM_ACTIVATE,LM Activation Power-Up,095:10:00,Joint,3,Report LM power status to MCC,MCC acknowledges LM powered,Flight Journal Day 5 095:20 GET
FP_7-08_DPS_CONFIG,DPS Configuration and Checkout,096:20:00,LMP,1,Arm descent engine valves per chart,Prop feed pressures within green band,Flight Plan p. 7-8
FP_7-08_DPS_CONFIG,DPS Configuration and Checkout,096:20:00,CDR,2,Set DPS thrust control to AUTO,Throttle command tracks inputs,Flight Plan p. 7-9
FP_7-08_DPS_CONFIG,DPS Configuration and Checkout,096:20:00,Joint,3,Log helium tank temperatures with MCC,Readings within limits,Flight Journal Day 5 096:10 GET
FP_7-10_DOI_PAD,DOI PAD Review,098:15:00,CMP,1,Load DOI TIG and Δv into AGC,Program 41 updated,Flight Plan p. 7-10
FP_7-10_DOI_PAD,DOI PAD Review,098:15:00,CDR,2,Confirm SPS attitude targets,FDAI matches PAD angles,Flight Plan p. 7-11
FP_7-10_DOI_PAD,DOI PAD Review,098:15:00,Joint,3,Acknowledge GO for DOI with MCC,GO recorded in log,Flight Journal Day 5 100:10 GET
FP_7-12_SEP_CONFIG,LM/CSM Separation Configuration,099:45:00,CMP,1,Configure CSM RCS and docking ring,Ring retract talkback gray,Flight Plan p. 7-12
FP_7-12_SEP_CONFIG,LM/CSM Separation Configuration,099:45:00,CDR,2,Set LM guidance to AGS STANDBY,AGS status indicates ready,Flight Plan p. 7-12
FP_7-12_SEP_CONFIG,LM/CSM Separation Configuration,099:45:00,Joint,3,Verify LM and CSM comm link,VHF and S-band crosslink nominal,Flight Journal Day 5 099:50 GET
FP_7-14_DOI_EXEC,DOI Execution Monitor,100:38:00,CMP,1,Initiate SPS ullage and ignition,Burn timer running,Flight Plan p. 7-14
FP_7-14_DOI_EXEC,DOI Execution Monitor,100:38:00,CDR,2,Monitor Δv residuals during DOI,Residual < 1 ft/s,Mission Operations Report Sec. 3.5
FP_7-14_DOI_EXEC,DOI Execution Monitor,100:38:00,Joint,3,Call DOI cutoff and log results,Δv logged with MCC,Flight Journal Day 5 100:39 GET
FP_7-16_LM_SEP,LM Separation and Stationkeeping,100:55:00,CMP,1,Command docking latches open,Talkbacks transition to gray,Flight Plan p. 7-16
FP_7-16_LM_SEP,LM Separation and Stationkeeping,100:55:00,CDR,2,Pulse LM RCS for separation,Range rate 0.2 ft/s receding,Flight Journal Day 5 101:05 GET
FP_7-16_LM_SEP,LM Separation and Stationkeeping,100:55:00,Joint,3,Report separation status to MCC,MCC copies LM free flight,Flight Journal Day 5 101:10 GET
FP_7-18_PDI_PREP,PDI Targeting and Program Load,102:10:00,LMP,1,Load P63 and descent targeting,PDI data displayed on DSKY,Flight Plan p. 7-18
FP_7-18_PDI_PREP,PDI Targeting and Program Load,102:10:00,CDR,2,Align LM to PDI attitude,Attitude within ±2°,Flight Plan p. 7-19
FP_7-18_PDI_PREP,PDI Targeting and Program Load,102:10:00,Joint,3,Confirm landing radar self-test,Radar BIT GO,Flight Journal Day 5 102:15 GET
FP_7-20_PDI_EXEC,Powered Descent Execution,102:33:00,LMP,1,Modulate throttle to track descent cues,Vertical velocity on profile,Flight Journal Day 5 102:36 GET
FP_7-20_PDI_EXEC,Powered Descent Execution,102:33:00,CDR,2,Call out critical altitude gates,Crew synchronized with AGC cues,Flight Journal Day 5 102:39 GET
FP_7-20_PDI_EXEC,Powered Descent Execution,102:33:00,Joint,3,Monitor PGNS and AGS agreement,Δv disagreement < 5 ft/s,Mission Operations Report Sec. 3.5
FP_7-22_FINAL_APPROACH,Final Approach and Landing,102:41:00,CDR,1,Hand fly to targeted landing point,Horizontal velocity < 1 ft/s,Flight Journal Day 5 102:42 GET
FP_7-22_FINAL_APPROACH,Final Approach and Landing,102:41:00,LMP,2,Call altitudes and fuel remaining,Fuel 5% at 60 ft,Flight Journal Day 5 102:44 GET
FP_7-22_FINAL_APPROACH,Final Approach and Landing,102:41:00,Joint,3,Arm engine stop cue,Descent engine off at contact,Flight Plan p. 7-22
FP_7-24_POSTLAND,Post-Landing Safing,102:47:00,CDR,1,Shut down descent engine and valves,Descent engine valves closed,Flight Plan p. 7-24
FP_7-24_POSTLAND,Post-Landing Safing,102:47:00,LMP,2,Configure ECS to POST-LAND mode,Cabin pressure stable 4.8 psi,Flight Plan p. 7-24
FP_7-24_POSTLAND,Post-Landing Safing,102:47:00,Joint,3,Transmit stay or no-stay decision,MCC concurs with stay,Flight Journal Day 5 102:50 GET
FP_7-28_ASCENT_PREP,LM Ascent Preparation,124:00:00,LMP,1,Load ascent PAD into AGC and AGS,P12 displays updated TIG,Flight Plan p. 7-28
FP_7-28_ASCENT_PREP,LM Ascent Preparation,124:00:00,CDR,2,Align platform with P52 option 3,IMU residuals < 0.3°,Flight Plan p. 7-29
FP_7-28_ASCENT_PREP,LM Ascent Preparation,124:00:00,CMP,3,Verify CSM rendezvous plan,CSM state vector uplinked,Flight Journal Day 5 123:55 GET
FP_7-30_ASCENT_EXEC,LM Ascent Execution,124:22:00,LMP,1,Initiate ascent engine ignition,Thrust confirmed on gauges,Flight Journal Day 5 124:22 GET
FP_7-30_ASCENT_EXEC,LM Ascent Execution,124:22:00,CDR,2,Call staging and attitude cues,Pitch program on schedule,Flight Plan p. 7-30
FP_7-30_ASCENT_EXEC,LM Ascent Execution,124:22:00,Joint,3,Monitor ascent residuals,Δv within ±10 ft/s at cutoff,Mission Operations Report Sec. 3.6
FP_7-32_RNDZ_DOCK,LM Rendezvous and Docking,125:50:00,CMP,1,Compute TPI and maneuver burns,CSM maneuver plan updated,Flight Plan p. 7-32
FP_7-32_RNDZ_DOCK,LM Rendezvous and Docking,125:50:00,CDR,2,Fly terminal phase and docking,Range rate 0.1 ft/s closing,Flight Journal Day 5 128:00 GET
FP_7-32_RNDZ_DOCK,LM Rendezvous and Docking,125:50:00,Joint,3,Verify hard dock and pressure equalization,Tunnel pressure equalized,Flight Journal Day 5 128:20 GET
